,0
0,0.13077217179926648
1,0.08036609190711037
2,0.06605853141586117
3,0.058182673814383835
4,0.052535717808110484
5,0.04831082331603402
6,0.04516433728412136
7,0.04249019557396583
8,0.04075104919946921
9,0.039084540306609364
10,0.03800896273944114
11,0.03664317689571198
12,0.03621660586852327
13,0.034683992415341806
14,0.03375436292875423
15,0.03284813079540417
16,0.03206520670579308
17,0.03098156048555349
18,0.030346662535458886
19,0.029816461082392304
20,0.029292397335824776
21,0.028560422558425513
22,0.028023859392877493
23,0.027791423310665354
24,0.027352537601358244
25,0.026912102159814703
26,0.026411839493267746
27,0.026147850311330736
28,0.025551759075664586
29,0.025271809382442924
30,0.02485784598340358
31,0.024859810711848396
32,0.02433958721352678
33,0.0244297960154788
34,0.023667171507742574
35,0.023583486774903028
36,0.023223280937203262
37,0.02286877350539814
38,0.02254623026432685
39,0.022289102499675292
40,0.021939375418158484
41,0.022092428790962872
42,0.021650599066698913
43,0.021209636566862245
44,0.021557466369338116
45,0.021221368892522463
46,0.021096325938227373
47,0.0205179115811202
48,0.02032941805587352
49,0.019795813861039405
50,0.0198259519163311
51,0.0193855043560688
52,0.019481208775404112
53,0.019078676119054085
54,0.019082549424486287
55,0.0191012702307193
56,0.018428395191399403
57,0.018340382958229057
58,0.01799494635780677
59,0.018025778803778477
60,0.017616360105009554
61,0.018144364125725197
62,0.017461602067588802
63,0.017713128969586205
64,0.016967715999087182
65,0.016935942592676896
66,0.017378960209730707
67,0.01708886969570564
68,0.01713272813529409
69,0.016276078549248115
70,0.016195828220924992
71,0.016049593587398596
72,0.01579901060626494
73,0.015791720698136825
74,0.015576815284465197
75,0.015345982760489726
76,0.015377459431483246
77,0.015438643583538404
78,0.015346597001414365
79,0.014895784290144466
80,0.01487713462559069
81,0.0150803608627222
82,0.014533480909896075
83,0.014431092905544925
84,0.014468058897611581
85,0.014131072404126364
86,0.014263955394757699
87,0.014020109663869932
88,0.014087525271321458
89,0.013749379967152383
90,0.014162439637431832
91,0.013780837351481633
92,0.013542886083246148
93,0.013497424837184677
94,0.014022627870285465
95,0.013382824664372813
96,0.01300120683925252
97,0.013164827423647526
98,0.012977456952258512
99,0.012987616415659308
100,0.012868379145045433
101,0.012696319809492061
102,0.012711745215154299
103,0.012596210917798563
104,0.012884544808877614
105,0.013559932986291228
106,0.012319500100306668
107,0.012365461332131676
108,0.01208959709483645
109,0.01212454505751119
110,0.011936544957182237
111,0.01205590379378184
112,0.011832189463246127
113,0.011770615741082851
114,0.011699745060818143
115,0.011701496137503998
